ksi_match_id,season,date,time,home_team_ksi_id,away_team_ksi_id,home_goals,away_goals,ground_id,status
768108,2024,2024-05-30,18:00,5363,5730,5,1,16,FT
631310,2024,2024-05-30,20:15,5387,5364,1,1,6,FT
623878,2024,2024-05-31,19:15,5733,5366,3,3,8,FT
757119,2024,2024-06-01,16:00,5731,5735,2,3,2,FT
766096,2024,2024-06-02,14:00,5734,5730,4,2,17,FT
684507,2024,2024-06-02,17:00,5364,5386,5,2,9,FT
727454,2024,2024-06-02,19:15,5732,5387,0,2,10,FT
757523,2024,2024-06-03,19:15,5698,5363,3,5,13,FT
754379,2024,2024-06-18,18:00,5386,5734,3,2,1,FT
739671,2024,2024-06-18,19:15,5730,5733,4,2,5,FT
768362,2024,2024-06-18,19:15,5366,5732,1,2,15,FT
768658,2024,2024-06-18,19:15,5735,5698,2,1,19,FT
768102,2024,2024-06-18,20:15,5363,5364,2,2,16,FT
631390,2024,2024-06-19,19:15,5387,5731,2,1,6,FT
768973,2024,2024-06-22,14:00,5734,5363,1,5,20,FT
727453,2024,2024-06-22,17:00,5732,5730,4,3,10,FT
684517,2024,2024-06-22,19:15,5364,5698,1,1,9,FT
757118,2024,2024-06-23,17:00,5731,5366,3,2,2,FT
631403,2024,2024-06-23,19:15,5387,5735,1,1,6,FT
623879,2024,2024-06-23,19:15,5733,5386,3,1,8,FT
768983,2024,2024-06-27,18:00,5734,5366,1,3,20,FT
757522,2024,2024-06-27,19:15,5698,5386,2,2,13,FT
739662,2024,2024-06-27,19:15,5730,5364,0,4,5,FT
727455,2024,2024-06-28,18:00,5732,5731,1,2,10,FT
623877,2024,2024-06-28,19:15,5733,5387,1,0,8,FT
768649,2024,2024-06-28,19:15,5735,5363,3,2,19,FT
684498,2024,2024-06-30,19:15,5364,5366,2,1,9,FT
768643,2024,2024-07-06,14:00,5735,5732,8,0,19,FT
768952,2024,2024-07-06,14:00,5734,5387,2,2,20,FT
757521,2024,2024-07-06,14:00,5698,5730,1,1,13,FT
768106,2024,2024-07-06,17:00,5363,5386,4,0,16,FT
623874,2024,2024-07-08,19:15,5733,5731,1,1,8,FT
768361,2024,2024-07-11,19:15,5366,5698,1,0,15,FT
768938,2024,2024-07-14,14:00,5734,5731,0,2,20,FT
623873,2024,2024-07-15,19:15,5733,5732,3,1,8,FT
754188,2024,2024-07-15,19:15,5386,5735,3,0,1,FT
727458,2024,2024-07-20,14:00,5732,5734,1,1,10,FT
757120,2024,2024-07-20,16:15,5731,5364,1,0,2,FT
739626,2024,2024-07-21,19:15,5730,5386,2,0,5,FT
631296,2024,2024-07-21,19:15,5387,5698,4,2,6,FT
623870,2024,2024-07-22,19:15,5733,5735,1,1,8,FT
768932,2024,2024-07-28,16:00,5734,5733,0,2,20,FT
768837,2024,2024-07-28,17:00,5735,5730,1,3,19,FT
768359,2024,2024-07-28,19:15,5366,5363,4,1,15,FT
684483,2024,2024-07-28,19:15,5364,5732,5,1,9,FT
757520,2024,2024-07-29,18:00,5698,5731,2,2,13,FT
754198,2024,2024-07-31,19:15,5386,5366,0,0,1,FT
623869,2024,2024-08-05,19:15,5733,5364,2,3,8,FT
631183,2024,2024-08-06,19:15,5387,5386,3,0,6,FT
757121,2024,2024-08-06,19:15,5731,5363,1,0,2,FT
768352,2024,2024-08-06,19:15,5366,5730,2,1,15,FT
768916,2024,2024-08-07,18:00,5734,5735,0,0,20,FT
684475,2024,2024-08-11,14:00,5364,5734,1,1,9,FT
754226,2024,2024-08-11,17:00,5386,5731,1,1,1,FT
739615,2024,2024-08-11,19:15,5730,5387,2,2,5,FT
768113,2024,2024-08-11,19:15,5363,5732,5,1,16,FT
757519,2024,2024-08-12,18:15,5698,5733,1,0,13,FT
768818,2024,2024-08-12,18:15,5735,5366,1,0,19,FT
768109,2024,2024-08-15,19:15,5363,5387,0,2,16,FT
768897,2024,2024-08-17,14:00,5734,5698,2,0,20,FT
757122,2024,2024-08-18,17:00,5731,5730,1,1,2,FT
727460,2024,2024-08-18,19:15,5732,5386,0,2,10,FT
623868,2024,2024-08-19,18:00,5733,5363,2,2,8,FT
631152,2024,2024-08-19,19:15,5387,5366,3,1,6,FT
684470,2024,2024-08-19,19:15,5364,5735,1,2,9,FT
727459,2024,2024-08-22,20:00,5732,5698,3,2,10,FT
768114,2024,2024-08-25,16:15,5363,5734,3,1,16,FT
768349,2024,2024-08-25,17:00,5366,5731,1,2,15,FT
768810,2024,2024-08-25,17:00,5735,5387,1,2,19,FT
754245,2024,2024-08-25,19:15,5386,5733,2,3,1,FT
739595,2024,2024-08-26,19:15,5730,5732,2,0,5,FT
768876,2024,2024-09-01,14:00,5734,5386,0,0,20,FT
757123,2024,2024-09-01,16:15,5731,5387,2,3,2,FT
757509,2024,2024-09-01,17:00,5698,5735,4,2,13,FT
623867,2024,2024-09-01,17:00,5733,5730,0,3,8,FT
684464,2024,2024-09-01,19:15,5364,5363,3,2,9,FT
727461,2024,2024-09-01,19:15,5732,5366,1,0,10,FT
757512,2024,2024-09-13,17:00,5698,5364,0,3,13,FT
768347,2024,2024-09-15,14:00,5366,5733,3,3,15,FT
768789,2024,2024-09-15,14:00,5735,5731,1,0,19,FT
739582,2024,2024-09-15,14:00,5730,5734,1,0,5,FT
631137,2024,2024-09-15,17:00,5387,5732,5,3,6,FT
768116,2024,2024-09-16,19:15,5363,5698,4,1,16,FT
754283,2024,2024-09-16,19:15,5386,5364,0,6,1,FT
631862,2025,2025-04-05,19:15,5387,5972,2,0,6,FT
768159,2025,2025-04-06,14:00,5363,5734,1,1,16,FT
757086,2025,2025-04-06,16:15,5731,5698,2,2,2,FT
768328,2025,2025-04-06,19:15,5366,5735,0,1,15,FT
685851,2025,2025-04-07,18:00,5364,5388,2,0,9,FT
738885,2025,2025-04-07,19:15,5730,5733,2,1,5,FT
768909,2025,2025-04-13,14:00,5734,5733,1,0,20,FT
765889,2025,2025-04-13,17:00,5972,5388,0,0,21,FT
768339,2025,2025-04-13,19:15,5366,5387,4,2,15,FT
685844,2025,2025-04-13,19:15,5364,5731,4,0,9,FT
738900,2025,2025-04-14,19:15,5730,5735,2,1,5,FT
766049,2025,2025-04-14,19:15,5698,5363,3,3,17,FT
768125,2025,2025-04-23,18:00,5363,5731,3,1,16,FT
689545,2025,2025-04-23,18:00,5735,5734,0,2,18,FT
624346,2025,2025-04-23,18:00,5733,5698,2,2,8,FT
631870,2025,2025-04-23,19:15,5387,5730,2,1,6,FT
669932,2025,2025-04-24,16:00,5388,5366,3,1,22,FT
765895,2025,2025-04-24,19:15,5972,5364,1,0,21,FT
768919,2025,2025-04-27,14:00,5734,5387,0,1,20,FT
757087,2025,2025-04-27,16:15,5731,5733,3,2,2,FT
766074,2025,2025-04-27,19:15,5698,5735,5,0,17,FT
738902,2025,2025-04-28,17:45,5730,5388,2,3,5,FT
613215,2025,2025-04-28,19:15,5363,5364,1,1,23,FT
768243,2025,2025-04-28,19:15,5366,5972,3,0,15,FT
669951,2025,2025-05-04,14:00,5388,5734,0,2,22,FT
768650,2025,2025-05-04,17:00,5735,5731,3,0,19,FT
624345,2025,2025-05-04,19:15,5733,5363,3,0,8,FT
631882,2025,2025-05-05,19:15,5387,5698,3,3,6,FT
685833,2025,2025-05-05,19:15,5364,5366,3,2,9,FT
765890,2025,2025-05-05,19:15,5972,5730,3,0,21,FT
768888,2025,2025-05-10,14:00,5734,5972,2,0,20,FT
766048,2025,2025-05-10,19:00,5698,5388,4,1,17,FT
768140,2025,2025-05-10,19:15,5363,5735,6,1,16,FT
738973,2025,2025-05-10,19:15,5730,5366,2,0,5,FT
757088,2025,2025-05-11,17:30,5731,5387,0,1,2,FT
685829,2025,2025-05-11,19:15,5364,5733,3,1,9,FT
669953,2025,2025-05-18,14:00,5388,5731,0,0,22,FT
768242,2025,2025-05-18,14:00,5366,5734,1,0,15,FT
765846,2025,2025-05-18,19:15,5972,5698,4,3,21,FT
768693,2025,2025-05-19,19:15,5735,5733,1,3,19,FT
631893,2025,2025-05-19,19:15,5387,5363,2,1,6,FT
738997,2025,2025-05-19,19:15,5730,5364,2,2,5,FT
766146,2025,2025-05-23,19:30,5698,5366,2,3,17,FT
768176,2025,2025-05-24,17:00,5363,5388,3,0,16,FT
